('CHEVROLET', '350 - F.S.R. SUPERFLY - GAS PORTED - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8466&make=8559'), 
('CHEVROLET', '305 - APBA - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9417&make=8559'), 
('CHEVROLET', 'BBC - APBA - DART HEAD - DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8715&make=8559'), 
('CHEVROLET', 'BBC - BLOWN ALCOHOL - DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11001&make=8559'), 
('CHEVROLET', '400 - GAS PORTED - DOME - 18°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10575&make=8559'), 
('CHEVROLET', 'BBC - CLOSED CHAMBER', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8103&make=8559'), 
('CHEVROLET', '351 - N HEAD - GAS PORTED - FLAT TOP', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=12183&make=8559'), 
('CHEVROLET', 'BBC NITROUS SERIES - FOR HUNTER SERIES HEAD CYLINDER HEAD WITH 2.400" INTAKE VALVES', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8244&make=8559'), 
('CHEVROLET', 'BBC GAS PORTED DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9972&make=8559'), 
('CHEVROLET', 'GEN III/IV LS1', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9492&make=8559'), 
('CHEVROLET', '350 - ULTRA-LIGHT - FLAT TOP - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10815&make=8559'), 
('CHEVROLET', '350 - F.S.R. TOUR SERIES - GAS PORTED - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8499&make=8559'), 
('CHEVROLET', '305 - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10956&make=8559'), 
('CHEVROLET', '360 SPRINT CAR ASCS', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9624&make=8559'), 
('CHEVROLET', '400 - NITROUS - DOME - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10812&make=8559'), 
('CHEVROLET', '350 - ULTRA-LIGHT - GAS PORTED - 21°  ANGLE MILLED CYLINDER HEADS', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9162&make=8559'), 
('CHEVROLET', '350 - GAS PORTED - INVERTED DOME - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10230&make=8559'), 
('CHEVROLET', '400 - BRODIX® 11X CYLINDER HEAD', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8520&make=8559'), 
('CHEVROLET', '400 - 14°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=12243&make=8559'), 
('CHEVROLET', '350 - 18°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9816&make=8559'), 
('CHEVROLET', '400 - TOUR SERIES - GAS PORTED - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=12204&make=8559'), 
('CHEVROLET', 'BBC - PRO MOD STYLE - GAS PORTED - 18°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11964&make=8559'), 
('CHEVROLET', 'GEN III/IV LS 4.8L / 5.3L', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8667&make=8559'), 
('CHEVROLET', '602 / 604 CRATE', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8679&make=8559'), 
('CHEVROLET', '350 - 23° LATE MODEL STOCK - 2 VALVE', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8751&make=8559'), 
('CHEVROLET', '305 - SPRINT CAR FLAT TOP', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9240&make=8559'), 
('CHEVROLET', '572 - REPLACEMENT  SERIES', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9261&make=8559'), 
